ID,Seizoen,Shirt,Maat,Nummer,Speler,Merk,Extra,Foto1,Foto2,Foto3,Insta,Toekomst,Handtekeningen,Link
100,2021-2022,Away,2XL,,,Macron,Signed,Shirt54.1.jpg,Shirt54.2.jpg,,,,"Nusa, Bursik, Jutgla, Thiago, Mechele, Spileers, De Cuyper, Barbera, Meijer, Jackers, Homma, Vetlesen, Shinton, Mignolet, Talbi, Onyedika, Balanta, Ordonez ",
101,2021-2022,Home,XL,17,Tajon Buchanan,Macron,,Shirt56.1.jpg,Shirt56.2.jpg,,x,,,
102,2021-2022,Home,2XL,20,Hans Vanaken,Macron,,Shirt48.1.jpg,Shirt48.2.jpg,,,,,
103,2021-2022,Home,M,,,Macron,Signed,Shirt58.1.jpg,Shirt58.2.jpg,,,,"De Ketelaere, Rits, Hoefkens, Jutgla, Skov Olsen, Sowah, Audoor, Meijer, Vanaken, Vormer, Sylla, Nusa, Mbamba, Shinton, Okereke, Nsoki, Balanta, Lammens, Izquierdo, Mata, Buchanan, Mechele, Lang, Sobol, Dost, Schreuder, Mignolet, Ricca, Sandra",
104,2022-2023,GK 2,M,,,Macron,,Shirt59.1.jpg,Shirt59.2.jpg,,,,,
105,2022-2023,GK 1,2XL,,,Macron,Signed,Shirt60.1.jpg,Shirt60.2.jpg,,,,Mignolet,
106,2022-2023,Third,L,27,Casper Nielsen,Macron,Signed,Shirt99.1.jpg,Shirt99.2.jpg,,,,Casper Nielsen,
107,2022-2023,Third,XL,9,Ferran Jutglà Blanch,Macron,Signed,Shirt81.1.jpg,Shirt81.2.jpg,,,,Ferran Jutglà Blanch,
108,2022-2023,Third,M,19,Kamal Sowah,Macron,Matchworn,Shirt125.1.jpg,Shirt125.2.jpg,Shirt125.3.jpg,,,Kamal Sowah,https://mws.com/nl/product/kamal-sowah-Keuxo3-GwEmR83Ch9myVCQ
109,2022-2023,Away,L,4,Joel Ordóñez,Macron,Signed,Shirt63.1.jpg,Shirt63.2.jpg,Shirt63.3.jpg,x,,Joel Ordóñez,
110,2022-2023,Away,L,94,Abakar Sylla,Macron,,Shirt80.1.jpg,Shirt80.2.jpg,,,,,
111,2022-2023,Home,L,27,Jorne Spileers,Macron,Signed,Shirt79.1.jpg,Shirt79.2.jpg,Shirt79.3.jpg,,,Spileers,
112,2022-2023,Home,XL,26,Mats Rits,Macron,Signed,Shirt64.1.jpg,Shirt64.2.jpg,Shirt64.3.jpg,,,Squad signed,
113,2023-2024,GK 3,XL,,,Macron,,Shirt68.1.jpg,Shirt68.2.jpg,,,,,
114,2023-2024,Fourth,L,,,Macron,,Shirt78.1.jpg,Shirt78.2.jpg,,x,,,
115,2023-2024,Third,XL,,,Macron,Signed,Shirt65.1.jpg,Shirt65.2.jpg,,x,,"Vetlesen, Skoras, Hayen, Seys, Mignolet, De Corte, Onyedika, Nielsen, De Cuyper, Meijer, Et Taïbi, Nilsson, Nusa, Talbi, Spileers, Jackers, Vermant, Boyata, Mechele, Tzolis, Zinckernagel",
116,2023-2024,Away,XL,44,Brandon Mechele,Macron,Signed,Shirt61.1.jpg,Shirt61.2.jpg,,,,Brandon Mechele,
117,2023-2024,Home,XL,99,Igor Thiago,Macron,,Shirt111.1.jpg,Shirt111.2.jpg,,,,,
118,2023-2024,Home,M,27,Casper Nielsen,Macron,Signed,Shirt102.1.jpg,Shirt102.2.jpg,,,,Casper Nielsen,
119,2023-2024,Home,2XL,20,Hans Vanaken,Macron,Signed,Shirt43.1.jpg,Shirt43.2.jpg,,,,Hans Vanaken,
120,2023-2024,Home,M,77,Philip Zinckernagel,Macron,Matchworn,Shirt77.1.jpg,Shirt77.2.jpg,Shirt77.3.jpg,x,,Philip Zinckernagel,https://mws.com/nl/product/philip-zinckernagel-A-y_hKAxf0SoZ-72WvhrDg
121,2024-2025,GK 3,M,,,Castore,,Shirt124.1.jpg,Shirt124.2.jpg,,,,,
122,2024-2025,GK 2,M,,,Castore,,Shirt123.1.jpg,Shirt123.2.jpg,,,,,
123,2024-2025,Third,XL,,,Castore,,Shirt98.1.jpg,Shirt98.2.jpg,,,,,
124,2024-2025,Third,XL,8,Christos Tzolis,Castore,Signed,Shirt66.1.jpg,Shirt66.2.jpg,,x,,Christos Tzolis,
125,2024-2025,Away,XL,30,Ardon Jashari,Castore,Signed,Shirt101.1.jpg,Shirt101.2.jpg,Shirt101.3.jpg,,,Ardon Jashari,
126,2024-2025,Away,XL,20,Hans Vanaken,Castore,Signed,Shirt5.1.jpg,Shirt5.2.jpg,Shirt5.3.jpg,,,Hans Vanaken,
127,2024-2025,Home,S,44,Brandon Mechele,Castore,Signed,Shirt100.1.jpg,Shirt100.2.jpg,,,,Brandon Mechele,
128,2024-2025,Home,M,68,Chemsdine Talbi,Castore,Matchworn,Shirt76.1.jpg,Shirt76.2.jpg,Shirt76.3.jpg,x,,Chemsdine Talbi,https://mws.com/nl/product/chemsdine-talbi--bKdNRz0z0uEpoXQo-RTmQ
129,2024-2025,Home,M,,,Castore,Signed,Shirt69.1.jpg,Shirt69.2.jpg,,,,Squad signed,
130,2024-2025,Home,2XL,8,Christos Tzolis,Castore,Signed,Shirt47.1.jpg,Shirt47.2.jpg,,,,Christos Tzolis,
131,2025-2026,GK 2,L,29,Nordin Jackers,Castore,Matchworn,Shirt122.1.jpg,Shirt122.2.jpg,Shirt122.3.jpg,,,Nordin Jackers,https://mws.com/nl/product/nordin-jackers-mzWhARXEL0meEtUnYCPmKw
132,2025-2026,Third,M,11,Romeo Vermant,Castore,,Shirt132.1.jpg,Shirt132.2.jpg,,,,,
133,2025-2026,Third,XL,7,Nicolò Tresoldi,Castore,Signed,Shirt14.1.jpg,Shirt14.2.jpg,,,,Nicolò Tresoldi,
134,2025-2026,Away,L,8,Christos Tzolis,Castore,Signed,Shirt134.1.jpg,Shirt134.2.jpg,,,,Christos Tzolis,
135,2025-2026,Home,L,14,Bjorn Meijer,Castore,Matchworn,Shirt121.1.jpg,Shirt121.2.jpg,Shirt121.3.jpg,,,Bjorn Meijer,https://mws.com/nl/product/bjorn-meijer-zkbxYcIkg0aYoV4cBo0dqA
136,2025-2026,Home,XL,15,Raphael Onyedika,Castore,Matchworn,Shirt133.1.jpg,Shirt133.2.jpg,Shirt133.3.jpg,,,Raphael Onyedika,https://mws.com/nl/product/raphael-onyedika-nwadike-t8e7o0Eam0OtPBN8ZvNLEA
